Epsilon,Accuracy,F1_Score
0.001,0.4618489090679783,0.6251427567425107
0.005,0.24776838889589553,0.3841211564938045
0.01,0.0989055646641723,0.08071595019228295
0.015,0.12773083336836646,0.00875851965093318
