Epsilon,Accuracy,F1_Score
0.001,0.32835862726138926,0.47409943272216554
0.005,0.3089222404394557,0.46481746755219866
0.01,0.2440969156822354,0.3827722726960661
0.015,0.16172699373607433,0.2547094587860062
